cellid,x,y,z,nonzero_voxels,vth,order_used,n_coeffs,delta_final,t_read,t_moments,t_transform
37824,-6912500.0,0.0,-287500.0,209088,253104.20473696577,12,364,0.046414121942701315,0.06231104199832771,0.007974541003932245,1.0510621249995893
47456,-6112500.0,0.0,112500.0,257856,246182.5927398308,18,1140,0.044958808025006944,0.08845195900357794,0.007196249993285164,3.3242088749975665
4352,-3712500.0,0.0,-1687500.0,187740,238846.8100627372,4,20,0.015790647863307115,0.0566388330043992,0.009863125000265427,0.05354608299967367
1952,-3712500.0,0.0,-1787500.0,187584,238881.82385389303,4,20,0.015736963009599675,0.05429262500547338,0.010519332994590513,0.05596108399913646
48064,-5912500.0,0.0,137500.0,247092,248370.8921977359,17,969,0.04962170491596536,0.07340991699311417,0.005979458001093008,2.8004704589984613
40224,-6912500.0,0.0,-187500.0,233704,251875.723277658,15,680,0.04871948353808444,0.07224362499255221,0.006109791997005232,1.9548446669941768
6144,-3912500.0,0.0,-1612500.0,187439,238741.0812121455,4,20,0.01585347317597894,0.053916709002805874,0.010648499999660999,0.05872070799523499
3744,-3912500.0,0.0,-1712500.0,187424,238786.07725830525,4,20,0.01568983253578583,0.05595533299492672,0.009232584008714184,0.05643241600773763
4512,287500.0,0.0,-1687500.0,189759,239556.23035446447,4,20,0.016743880692069914,0.06167670899594668,0.007226917005027644,0.058765000008861534
2112,287500.0,0.0,-1787500.0,189551,239518.29514342014,4,20,0.016563297306877667,0.05954899999778718,0.0060244170017540455,0.058693958999356255
35424,-6912500.0,0.0,-387500.0,201494,253858.88948425208,11,286,0.045651905544275354,0.06182091700611636,0.007725000003119931,0.827049082989106
6912,287500.0,0.0,-1587500.0,190251,239618.0859380589,4,20,0.016643543903754745,0.05541379100759514,0.006159791999380104,0.0587143750017276
45056,-6112500.0,0.0,12500.0,288192,244931.20517321263,20,1540,0.048030303825282554,0.08136533400102053,0.007308500004000962,4.44715374999214
2336,5887500.0,0.0,-1787500.0,186244,238263.41611222204,4,20,0.014492878862865169,0.06775100000959355,0.008387874986510724,0.0536014170065755
52864,-5912500.0,0.0,337500.0,202678,253856.16556650726,11,286,0.04683122693283432,0.0701953340030741,0.011406666002585553,0.8426662090059835
4736,5887500.0,0.0,-1687500.0,185892,238227.04562334216,4,20,0.01446183036084864,0.056857292001950555,0.008967166999354959,0.05306362500414252
66656,-6112500.0,0.0,912500.0,188650,239845.280102032,4,20,0.023507174724329238,0.05948637500114273,0.0072475000051781535,0.05918812500021886
69056,-6112500.0,0.0,1012500.0,186560,238892.4116986274,4,20,0.015848692959654232,0.060412999999243766,0.006063290988095105,0.058771875003003515
5504,-4912500.0,0.0,-1637500.0,186340,238430.90786650695,4,20,0.015242959404846157,0.057878915991750546,0.006400750004104339,0.05879783300042618
3104,-4912500.0,0.0,-1737500.0,186228,238474.41399819072,4,20,0.015146886539898676,0.05799845799629111,0.006339333995128982,0.056003417004831135
704,-4912500.0,0.0,-1837500.0,186676,238493.45675712603,4,20,0.015181168824796223,0.056937208006274886,0.008867208001902327,0.05713708300027065
76256,-6112500.0,0.0,1312500.0,184535,238005.30344596974,4,20,0.013749747119764198,0.061040917003992945,0.007051874999888241,0.0493744169943966
73856,-6112500.0,0.0,1212500.0,186240,238108.02434579332,4,20,0.013281674024541343,0.0657469590078108,0.010547082987613976,0.07193987500795629
71456,-6112500.0,0.0,1112500.0,187008,238373.2616167537,4,20,0.013401458109013564,0.055209625003044493,0.00599487499857787,0.060903541001607664
75648,-6312500.0,0.0,1287500.0,184683,237997.0050351236,4,20,0.013540260087845025,0.06783254200126976,0.006108583009336144,0.07268758400459774
45664,-5912500.0,0.0,37500.0,283456,243573.94836950317,20,1540,0.04561773844156444,0.0988811659917701,0.006530541999381967,4.495361041990691
50464,-5912500.0,0.0,237500.0,222336,253738.35451756607,14,560,0.0449293642380588,0.07402295900101308,0.007043416990200058,1.6456356659909943
72672,-5712500.0,0.0,1162500.0,186880,238267.22238146068,4,20,0.0133543048865391,0.06686270900536329,0.00845845800358802,0.0533800420089392
75072,-5712500.0,0.0,1262500.0,186135,238104.56037050096,4,20,0.01375145305565961,0.05419891601195559,0.007414916006382555,0.06120920799730811
65728,687500.0,0.0,862500.0,190372,239987.68729271597,4,20,0.03509872309329901,0.055599166997126304,0.00829866700223647,0.06146933299896773
68128,687500.0,0.0,962500.0,191028,239738.48320438486,4,20,0.026201453110421692,0.05069224999169819,0.006608083989704028,0.06308408299810253
70528,687500.0,0.0,1062500.0,191028,239913.213589368,4,20,0.020882192512639185,0.0627873330086004,0.0072681249876040965,0.048290708000422455
68736,887500.0,0.0,987500.0,191092,239795.49967791105,4,20,0.023951580761147562,0.05803133299923502,0.007174250000389293,0.05732120800530538
66336,887500.0,0.0,887500.0,190004,239879.20733935785,4,20,0.031561714412353746,0.05846562499937136,0.008021542002097704,0.05575450000469573
81056,-6112500.0,0.0,1512500.0,184055,238062.67734985822,4,20,0.014292026869142093,0.062216582999099046,0.006697250006254762,0.06495587500103284
78656,-6112500.0,0.0,1412500.0,184046,238017.44802575462,4,20,0.01411284909548366,0.055525999996461906,0.006280624991632067,0.06102683399512898
5408,-7312500.0,0.0,-1637500.0,183364,238089.81355563173,4,20,0.01383332460895832,0.055001166998408735,0.006956834011361934,0.05573008301144
3008,-7312500.0,0.0,-1737500.0,184077,238138.7078891129,4,20,0.01384787607068153,0.057557290987460874,0.006252125007449649,0.055402666999725625
608,-7312500.0,0.0,-1837500.0,184521,238146.28388976175,4,20,0.013914379571463244,0.04944825000711717,0.006355916004395112,0.058352457999717444
87648,-6312500.0,0.0,1787500.0,185740,238167.31048967713,4,20,0.014152050856030926,0.05388283298816532,0.007798374994308688,0.06932541700371075
85248,-6312500.0,0.0,1687500.0,185332,238131.98718498534,4,20,0.014096370429250639,0.058803874999284744,0.006589958997210488,0.06562745799601544
84640,-6512500.0,0.0,1662500.0,184475,238101.46981218862,4,20,0.013988193010963702,0.053871750002144836,0.008970958995632827,0.06786349999310914
89440,-6512500.0,0.0,1862500.0,188480,240203.75279674088,4,20,0.0002743499266633751,0.0631802499992773,0.01010058299289085,0.05474849999882281
48672,-5712500.0,0.0,162500.0,243328,252030.27487299516,16,816,0.049137105049506746,0.0746591249917401,0.010252042004140094,2.36084366698924
87040,-6512500.0,0.0,1762500.0,185292,238143.36752775306,4,20,0.014027758187466344,0.05628049999359064,0.006244125004741363,0.05591433300287463
1984,-2912500.0,0.0,-1787500.0,188273,239163.55376544557,4,20,0.01587554635488166,0.06189612500020303,0.0073535830015316606,0.06266558400238864
6784,-2912500.0,0.0,-1587500.0,188395,239129.66001859214,4,20,0.016072694899080645,0.0541166670009261,0.007700250003836118,0.055088832988985814
4384,-2912500.0,0.0,-1687500.0,188251,239147.21003257902,4,20,0.015971158021006574,0.055394374998286366,0.006560624999110587,0.06176358400261961
88256,-6112500.0,0.0,1812500.0,186015,238192.92662796873,4,20,0.014266549139117247,0.057807332996162586,0.006472459004726261,0.055740208001225255
85856,-6112500.0,0.0,1712500.0,185887,238168.18258279996,4,20,0.014191014319962435,0.05403841599763837,0.009773041994776577,0.05505737499333918
83456,-6112500.0,0.0,1612500.0,185451,238118.2040829612,4,20,0.014262154816749242,0.057193959000869654,0.005890959000680596,0.05889912501152139
46272,-5712500.0,0.0,62500.0,278780,243887.7396187901,18,1140,0.04883782183770917,0.08847812500607688,0.00874820799799636,3.3739121250109747
48160,-3512500.0,0.0,137500.0,270656,251457.8658411824,16,816,0.04971126590322586,0.08296612500271294,0.009114166998188011,2.342936124987318
45760,-3512500.0,0.0,37500.0,290240,245369.89457914542,16,816,0.04855472198938572,0.09409495801082812,0.0061858750123064965,2.4144971670029918
38496,-5112500.0,0.0,-262500.0,219840,255423.95155306553,13,455,0.047404220749875145,0.06608441600110382,0.007276167001691647,1.3294127920089522
6528,5687500.0,0.0,-1612500.0,185604,238228.24324107353,4,20,0.014688489234384983,0.0600300419901032,0.00707641699409578,0.04807770799379796
